Location,Site,date,year,time,depth,transect,width,Family,Functional Group,species,length,number,a,b,Biomass,Total Biomass(kg)
Adara,Site 1,03/12/16,2016,1130,5-10m,1,5,Serranidae,Piscivore,cep.urod,22,1,0.0282,2.818,171.1,0.1711
Adara,Site 1,03/12/16,2016,1130,5-10m,1,5,Serranidae,Piscivore,cep.urod,17,1,0.0282,2.818,82.7,0.0827
Adara,Site 1,03/12/16,2016,1130,5-10m,1,5,Serranidae,Piscivore,cep.urod,20,1,0.0282,2.818,130.8,0.1308
Adara,Site 1,03/12/16,2016,1130,5-10m,1,5,Serranidae,Piscivore,cep.argu,26,1,0.0093,3.181,294.8,0.2948
Adara,Site 1,03/12/16,2016,1130,5-10m,1,5,Serranidae,Piscivore,epi.fasc,25,1,0.0138,3.041,246.0,0.2460
Adara,Site 1,03/12/16,2016,1130,5-10m,1,5,Balistidae,Grazer,mel.nige,22,5,0.0374,2.919,310.0,1.5501
Adara,Site 1,03/12/16,2016,1130,5-10m,1,5,Chaetodontidae,Grazer,cha.klei,9,4,0.045,2.814,21.8,0.0872
Adara,Site 1,03/12/16,2016,1130,5-10m,1,5,Mullidae,Grubber,par.indi,16,1,0.0142,3.114,79.8,0.0798
Adara,Site 1,03/12/16,2016,1130,5-10m,1,5,Mullidae,Grubber,par.cycl,20,1,0.0145,3.13,171.2,0.1712
Adara,Site 1,03/12/16,2016,1130,5-10m,1,5,Scaridae,Grazer,sca.psit,23,1,0.0105,3.319,347.3,0.3473
Adara,Site 1,03/12/16,2016,1130,5-10m,1,5,Scaridae,Grazer,sca.psit,20,1,0.0105,3.319,218.4,0.2184
Adara,Site 1,03/12/16,2016,1130,5-10m,1,5,Scaridae,Grazer,sca.psit,17,1,0.0105,3.319,127.4,0.1274
Adara,Site 1,03/12/16,2016,1130,5-10m,1,5,Scaridae,Grazer,sca.psit,14,3,0.0105,3.319,66.9,0.2006
Adara,Site 1,03/12/16,2016,1130,5-10m,1,5,Scaridae,Grazer,sca.psit,12,16,0.0105,3.319,40.1,0.6414
Adara,Site 1,03/12/16,2016,1130,5-10m,1,5,Scaridae,Grazer,sca.psit,10,6,0.0105,3.319,21.9,0.1313
Adara,Site 1,03/12/16,2016,1130,5-10m,1,5,Scaridae,Grazer,sca.nigr,16,1,0.0134,3.16,85.5,0.0855
Adara,Site 1,03/12/16,2016,1130,5-10m,1,5,Scaridae,Grazer,sca.nigr,11,1,0.0134,3.16,26.2,0.0262
Adara,Site 1,03/12/16,2016,1130,5-10m,1,5,Scaridae,Grazer,sca.tric,21,1,0.0234,2.956,189.5,0.1895
Adara,Site 1,03/12/16,2016,1130,5-10m,1,5,Scaridae,Grazer,sca.tric,18,1,0.0234,2.956,120.2,0.1202
Adara,Site 1,03/12/16,2016,1130,5-10m,1,5,Scaridae,Grazer,sca.rubr,45,1,0.0234,2.956,1803.5,1.8035
Adara,Site 1,03/12/16,2016,1130,5-10m,1,5,Scaridae,Grazer,sca.rubr,36,1,0.0234,2.956,932.5,0.9325
Adara,Site 1,03/12/16,2016,1130,5-10m,1,5,Acanthuridae,Grazer,cte.stri,12,5,0.0231,3.063,46.7,0.2334
Adara,Site 1,03/12/16,2016,1130,5-10m,1,5,Acanthuridae,Grazer,cte.stri,14,3,0.0231,3.063,74.9,0.2246
Adara,Site 1,03/12/16,2016,1130,5-10m,1,5,Acanthuridae,Grazer,zeb.scop,12,4,0.0291,2.993,49.4,0.1977
Adara,Site 1,03/12/16,2016,1130,5-10m,1,5,Acanthuridae,Grazer,zeb.scop,13,4,0.0291,2.993,62.8,0.2512
Adara,Site 1,03/12/16,2016,1130,5-10m,1,5,Acanthuridae,Grazer,aca.line,25,1,0.028,2.983,414.2,0.4142
Adara,Site 1,03/12/16,2016,1130,5-10m,1,5,Balistidae,Grazer,blp.undu,20,1,0.0374,2.919,234.7,0.2347
Adara,Site 1,03/12/16,2016,1130,5-10m,1,5,Balistidae,Grazer,blp.undu,18,1,0.0374,2.919,172.6,0.1726
Adara,Site 1,03/12/16,2016,1130,5-10m,2,5,Lutjanidae,carnivore,lut.boha,25,1,0.0156,3.059,294.7,0.2947
Adara,Site 1,03/12/16,2016,1130,5-10m,2,5,Serranidae,Piscivore,cep.urod,20,1,0.0282,2.818,130.8,0.1308
Adara,Site 1,03/12/16,2016,1130,5-10m,2,5,Serranidae,Piscivore,cep.argu,28,1,0.0093,3.181,373.2,0.3732
Adara,Site 1,03/12/16,2016,1130,5-10m,2,5,Balistidae,Grazer,mel.nige,21,3,0.0374,2.919,270.7,0.8120
